"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)"
2025-01-01,2025-07-31,駐妻・駐夫訴求,active,"7-day click or 1-day view",3508,actions:link_click,87938,2.706384,0.47256271,"Using campaign budget",0,1657.75,Ongoing,-,-,-,237994,6.965512,3508,,0.472563,1.473987,4504,1.892485,0.368062
2025-01-01,2025-07-31,"駐妻・駐夫訴求 - 2025",active,"7-day click or 1-day view",807,actions:link_click,31633,2.109474,0.50339529,"Using campaign budget",0,406.24,Ongoing,-,-,-,66729,6.087908,807,,0.503395,1.209369,1003,1.503095,0.405025
