"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)"
2025-01-01,2025-07-31,通訳派遣,active,"7-day click or 1-day view",43238,actions:link_click,118478,5.791202,0.15209908,"Using campaign budget",0,6576.46,Ongoing,-,-,-,686130,9.58486,43238,,0.152099,6.301721,19161,2.792619,0.343221
2025-01-01,2025-07-31,"通訳派遣 - 2025",inactive,"7-day click or 1-day view",70,actions:link_click,4172,1.51558,0.34585714,"Using campaign budget",0,24.21,Ongoing,-,-,-,6323,3.828879,70,,0.345857,1.107069,87,1.375929,0.278276
